00_method_chain,01_time_s,02_1f_evolved_av_next,03_1f_measured_av,04_1f_evolved_av_next_residual,05_1f_p_hit_pred,06_1f_signed_p_hit_pred,07_1f_w_hit_norm,08_1f_hit_work_capacity_norm,09_1f_displacement_side_work_norm,10_1f_work_capacity_margin_norm,11_1f_pos_hit_work_norm,12_1f_neg_hit_work_norm,13_1f_disp_env_norm,14_1f_hidden_work_proxy,15_1f_a_times_v_measured,16_1f_abs_a_times_v_measured,17_1f_u_measured,18_1f_measured_signed_work,19_2f_evolved_av_next,20_2f_measured_av,21_2f_evolved_av_next_residual,22_2f_p_hit_pred,23_2f_signed_p_hit_pred,24_2f_w_hit_norm,25_2f_hit_work_capacity_norm,26_2f_displacement_side_work_norm,27_2f_work_capacity_margin_norm,28_2f_pos_hit_work_norm,29_2f_neg_hit_work_norm,30_2f_disp_env_norm,31_2f_hidden_work_proxy,32_2f_a_times_v_measured,33_2f_abs_a_times_v_measured,34_2f_u_measured,35_2f_measured_signed_work,36_3f_evolved_av_next,37_3f_measured_av,38_3f_evolved_av_next_residual,39_3f_p_hit_pred,40_3f_signed_p_hit_pred,41_3f_w_hit_norm,42_3f_hit_work_capacity_norm,43_3f_displacement_side_work_norm,44_3f_work_capacity_margin_norm,45_3f_pos_hit_work_norm,46_3f_neg_hit_work_norm,47_3f_disp_env_norm,48_3f_hidden_work_proxy,49_3f_a_times_v_measured,50_3f_abs_a_times_v_measured,51_3f_u_measured,52_3f_measured_signed_work,53_path_w_1f_2f,54_path_w_2f_3f,55_state_fidelity_one_step,56_residual_norm
QSM-QTE-FATE,0.0,0.0,1.040253466248005e-05,1.040253466248005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037797776141567936,0.0,1.040253466248005e-05,1.040253466248005e-05,-2.6885660913e-06,0.0,0.0,2.550986082683584e-07,2.550986082683584e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003370560734086108,0.0,2.550986082683584e-07,2.550986082683584e-07,-4.4657031953e-06,0.0,0.0,-1.7861104618061787e-08,-1.7861104618061787e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002930727545491268,0.0,-1.7861104618061787e-08,1.7861104618061787e-08,-5.5751235658e-06,0.0,1.0,1.0,1.0,0.0
QSM-QTE-FATE,0.0244140834903958,-4.105366673181013e-05,-3.269699393436273e-05,8.356672797447399e-06,4.105366673181013e-05,-4.105366673181013e-05,6.577033252843343e-07,6.577033252848696e-07,4.722523319641686e-07,1.85450993320701e-07,0.0,1.3815866729927217e-06,0.0011608808523036844,0.9988391191476963,-3.269699393436273e-05,3.269699393436273e-05,-1.4605312728e-06,-5.0752184141137655e-08,1.58913498360297e-06,-2.4995135712672744e-07,-1.8390863407296976e-06,1.58913498360297e-06,1.58913498360297e-06,1.2428984930952372e-08,1.242898493096361e-08,1.1584672152864961e-08,8.443127780986491e-10,3.271680883861169e-08,0.0,0.0003236164766032709,0.9996763835233967,-2.4995135712672744e-07,2.4995135712672744e-07,-3.6403472713e-06,-1.0075767725600622e-08,3.0988069881870696e-07,1.262333348110233e-07,-1.8364736400768365e-07,3.0988069881870696e-07,3.0988069881870696e-07,1.954110250804691e-09,1.954110250806338e-09,1.3753807333380512e-09,5.787295174682867e-10,3.6912972290383067e-09,1.4297203943963762e-09,0.0002858647878629097,0.9997141352121371,1.262333348110233e-07,1.262333348110233e-07,-4.8453186874e-06,2.5769699867124937e-09,1.0012537864852904,0.9987462135147096,0.9365510675387597,1.9355831448673573
QSM-QTE-FATE,0.0488281268797369,-4.4809195942345164e-05,-5.1995112270013374e-05,-7.18591632766821e-06,4.4809195942345164e-05,-4.4809195942345164e-05,1.3186859769060808e-06,1.318685976907154e-06,9.524262120557948e-07,3.662597648513591e-07,0.0,2.630824570792095e-06,0.0011145924990447686,0.9988854075009552,-5.1995112270013374e-05,5.1995112270013374e-05,-6.5537013662e-06,3.869172965587465e-08,5.192433658764963e-06,-1.0366765724469694e-06,-6.2291102312119325e-06,5.192433658764963e-06,5.192433658764963e-06,9.673009460403797e-08,9.673009460412543e-08,2.006176576053046e-08,7.666832884359498e-08,2.2210539870151026e-07,0.0,0.00031156064560549626,0.9996884393543946,-1.0366765724469694e-06,1.0366765724469694e-06,-2.7700812095e-06,-8.115326138280294e-09,9.623357745963472e-07,4.786535419434333e-08,-9.144704204020039e-07,9.623357745963472e-07,9.623357745963472e-07,1.786340397997993e-08,1.7863403979994987e-08,1.9913707329480197e-09,1.5872033247046965e-08,3.726715794743492e-08,1.4297203943963762e-09,0.0002744663654850877,0.9997255336345149,4.786535419434333e-08,4.786535419434333e-08,-3.101561381e-06,2.2181532885654072e-09,1.0028048032153942,0.9971951967846056,0.9082968339309194,0.3660122707915278
QSM-QTE-FATE,0.0781249949873681,-4.7576452912839326e-05,-4.264908152726261e-05,4.927371385576713e-06,4.7576452912839326e-05,-4.7576452912839326e-05,2.2941847731920365e-06,2.2941847731939033e-06,1.6151642281618964e-06,6.790205450320069e-07,0.0,4.464184999479815e-06,0.0013353817367363734,0.9986646182632636,-4.264908152726261e-05,4.264908152726261e-05,3.6813810054e-06,-2.837348839129325e-07,1.43112142950003e-05,-2.342108894517254e-07,-1.4545425184452024e-05,1.43112142950003e-05,1.43112142950003e-05,2.2897537685884044e-07,2.289753768590475e-07,3.462379749163086e-08,1.9435157936741663e-07,5.349124493729334e-07,0.0,0.0003307147870920994,0.9996692852129079,-2.342108894517254e-07,2.342108894517254e-07,-4.3635367567e-06,-1.3375352175470126e-08,2.531844534565881e-06,-9.162885093762753e-08,-2.623473385503509e-06,2.531844534565881e-06,2.531844534565881e-06,3.8212834159040785e-08,3.8212834159073e-08,3.800026895785524e-09,3.441280726328747e-08,8.315707357174476e-08,1.4297203943963762e-09,0.00026138658397888766,0.9997386134160211,-9.162885093762753e-08,9.162885093762753e-08,-1.2614396831e-06,1.3458145717908938e-10,1.0050999742439493,0.9949000257560509,0.6654396958819064,1.6475818161754776
QSM-QTE-FATE,0.1025390784777639,-4.929539961854041e-05,-2.3362516573413444e-05,2.5932883045126965e-05,4.929539961854041e-05,-4.929539961854041e-05,2.8359434402231545e-06,2.835943440225462e-06,2.02565876878629e-06,8.102846714391722e-07,0.0,5.4830467873280095e-06,0.0012821354268821835,0.9987178645731178,-2.3362516573413444e-05,2.3362516573413444e-05,-8.7834714663e-06,-3.326812345843547e-07,9.397217576839212e-06,-2.3862753184841212e-06,-1.1783492895323334e-05,9.397217576839212e-06,9.397217576839212e-06,4.362949539095583e-07,4.3629495390995285e-07,5.844804722505064e-08,3.7784690668490217e-07,9.382420870195639e-07,0.0,0.0003175280394060745,0.9996824719605939,-2.3862753184841212e-06,2.3862753184841212e-06,-5.021567036e-07,-7.19424878534629e-09,1.3647290922600505e-06,-1.5569736953630967e-07,-1.52042646179636e-06,1.3647290922600505e-06,1.3647290922600505e-06,7.027865027450742e-08,7.027865027456666e-08,5.200526067121581e-09,6.507812420744507e-08,1.4089006325211658e-07,1.4297203943963762e-09,0.00025096419264359585,0.9997490358073564,-1.5569736953630967e-07,1.5569736953630967e-07,-2.1854818642e-06,8.600727460273574e-10,1.006331338291465,0.9936686617085351,0.8542626900911909,0.3914559799261343
QSM-QTE-FATE,0.1318359465853952,1.0024594328745979e-06,5.1326522125543236e-05,5.032406269266864e-05,1.0024594328745979e-06,1.0024594328745979e-06,3.5816665828686887e-06,3.5816665828716037e-06,2.5620221001736374e-06,1.019644482697966e-06,3.6735417972826086e-07,6.378227600561135e-06,0.001221034857363079,0.998778965142637,5.1326522125543236e-05,5.1326522125543236e-05,3.494560395e-06,-2.235603893203641e-07,7.218923417973107e-07,2.970741649592811e-07,-4.2481817683802964e-07,7.218923417973107e-07,7.218923417973107e-07,6.531114112131058e-07,6.531114112136964e-07,6.940353877900996e-08,5.837078724346864e-07,1.3440216545337266e-06,0.0,0.00030239614020165565,0.9996976038597983,2.970741649592811e-07,2.970741649592811e-07,-1.7513636637e-06,-1.3902354129374775e-08,1.113531693413913e-07,-9.735100712204837e-10,-1.1232667941261178e-07,1.113531693413913e-07,1.113531693413913e-07,9.956304688730043e-08,9.956304688738435e-08,5.843308042859417e-09,9.371973884452493e-08,1.9286435530552552e-07,1.4297203943963762e-09,0.00023900441462177305,0.9997609955853782,-9.735100712204837e-10,9.735100712204837e-10,-1.9893479756e-06,3.474217991827769e-10,1.0082902407088965,0.9917097592911034,0.5090334482339289,1.5461743589995012
QSM-QTE-FATE,0.1562499899747363,-1.5318459764612376e-05,4.818889257704778e-05,6.350735234166016e-05,1.5318459764612376e-05,-1.5318459764612376e-05,4.065736323980989e-06,4.065736323984297e-06,3.0602411098816854e-06,1.0054952141026116e-06,3.6735417972826086e-07,7.336045228823354e-06,0.001172347954907144,0.9988276520450928,4.818889257704778e-05,4.818889257704778e-05,-6.5428233548e-06,-1.8864725435996436e-07,5.650643340730659e-06,1.3116422425701135e-06,-4.339001098160546e-06,5.650643340730659e-06,5.650643340730659e-06,9.6007424428809e-07,9.600742442889582e-07,7.745582592959434e-08,8.826184183593639e-07,1.99651168826183e-06,0.0,0.00029033855536509805,0.9997096614446349,1.3116422425701135e-06,1.3116422425701135e-06,-1.9831659295e-06,-3.073109067562681e-09,8.029005966309466e-07,-5.213790934913982e-08,-8.550385059800865e-07,8.029005966309466e-07,8.029005966309466e-07,1.41843872880075e-07,1.4184387288019455e-07,6.16689639206433e-09,1.3567697648813023e-07,2.7792148093483115e-07,1.4297203943963762e-09,0.00022947447814939596,0.9997705255218506,-5.213790934913982e-08,5.213790934913982e-08,-1.1226078329e-06,7.231457879195442e-10,1.0098317196954494,0.990168280304551,0.6407572862249346,1.6206292134683267
QSM-QTE-FATE,0.1855468981834222,2.9700488044800042e-05,-8.228680677002326e-11,-2.9700570331606812e-05,2.9700488044800042e-05,2.9700488044800042e-05,4.5793650948517886e-06,4.579365094855515e-06,3.5044498999800355e-06,1.0749151948754796e-06,1.2509293164498024e-06,7.58163270595472e-06,0.0011164793421089062,0.9988835206578911,-8.228680677002326e-11,8.228680677002326e-11,-4.099786305e-06,2.1138806756162193e-08,2.113236255549712e-05,-3.459580928334335e-07,-2.1478320648330553e-05,2.113236255549712e-05,2.113236255549712e-05,1.2336279688282444e-06,1.23362796882936e-06,9.552661900585334e-08,1.1381013498235067e-06,2.628242094536665e-06,0.0,0.0002957472419521871,0.9997042527580479,-3.459580928334335e-07,3.459580928334335e-07,-2.5217108155e-06,-1.53695427502311e-09,3.276120689015407e-06,1.0167007415851069e-07,-3.1744506148568963e-06,3.276120689015407e-06,3.276120689015407e-06,1.8210477310354578e-07,1.8210477310369928e-07,8.475172588919478e-09,1.7362960051477978e-07,3.6618258187543296e-07,1.4297203943963762e-09,0.00021853879927253753,0.9997814612007274,1.0167007415851069e-07,1.0167007415851069e-07,-1.7915642207e-06,3.68190467261177e-09,1.0110054763758296,0.9889945236241702,0.4884319146701953,1.3787863531499447
QSM-QTE-FATE,0.2099609415727633,2.472149925727197e-05,-4.861960464131149e-05,-7.334110389858346e-05,2.472149925727197e-05,2.472149925727197e-05,5.099043166745803e-06,5.099043166749953e-06,3.99588475319694e-06,1.1031584135530135e-06,1.4621997478488642e-06,8.350793196320015e-06,0.0012663775740791735,0.9987336224259208,-4.861960464131149e-05,4.861960464131149e-05,-2.786308767e-07,-6.35953124002076e-09,8.534098412199564e-06,-6.277733481237229e-07,-9.161871760323287e-06,8.534098412199564e-06,8.534098412199564e-06,1.4852212145147744e-06,1.4852212145161174e-06,1.1015287803287028e-07,1.375068336483247e-06,3.087635453502598e-06,0.0,0.0002839547717915613,0.9997160452282084,-6.277733481237229e-07,6.277733481237229e-07,-2.7543702911e-06,-4.116091865634009e-09,1.2493380790659002e-06,-3.899335132283918e-08,-1.2883314303887393e-06,1.2493380790659002e-06,1.2493380790659002e-06,2.1653833568123575e-07,2.1653833568141826e-07,1.0194919846719595e-08,2.0634341583469867e-07,4.250809499060031e-07,1.4297203943963762e-09,0.00020982489799538883,0.9997901751020046,-3.899335132283918e-08,3.899335132283918e-08,-3.4548424834e-06,8.032548958815971e-10,1.0121965574669098,0.9878034425330899,0.6591528109351801,1.345626120691796
QSM-QTE-FATE,0.2343750250631591,1.64116688414949e-05,-5.3710646453034765e-05,-7.012231529452967e-05,1.64116688414949e-05,1.64116688414949e-05,5.626916166237213e-06,5.626916166241792e-06,4.47565661202586e-06,1.1512595542159325e-06,2.5620999641726904e-06,8.350793196320015e-06,0.0012158826999568019,0.9987841173000432,-5.3710646453034765e-05,5.3710646453034765e-05,-5.1796996798e-06,-6.431363390911596e-08,1.5457897109716247e-05,-7.381401735724509e-07,-1.61960372832887e-05,1.5457897109716247e-05,1.5457897109716247e-05,1.7473811707693288e-06,1.747381170770909e-06,1.1974421911169725e-07,1.6276369516592116e-06,3.6571925083937626e-06,0.0,0.0002824569606699435,0.99971754303933,-7.381401735724509e-07,7.381401735724509e-07,-2.7480700755e-06,-1.1124423395778658e-08,2.303643227639105e-06,-8.820253941162047e-08,-2.3918457670507256e-06,2.303643227639105e-06,2.303643227639105e-06,2.527600026878725e-07,2.527600026880856e-07,1.0606571564635065e-08,2.4215343112345054e-07,4.997984018253108e-07,1.4297203943963762e-09,0.0002431471512568328,0.9997568528487432,-8.820253941162047e-08,8.820253941162047e-08,-4.4532556016e-06,4.1006495636882316e-10,1.0133609038939089,0.9866390961060914,0.4395995406883082,1.3487987204988034
