00_method_chain,01_time_s,02_1f_evolved_av_next,03_1f_measured_av,04_1f_evolved_av_next_residual,05_1f_p_hit_pred,06_1f_signed_p_hit_pred,07_1f_w_hit_norm,08_1f_hit_work_capacity_norm,09_1f_displacement_side_work_norm,10_1f_work_capacity_margin_norm,11_1f_pos_hit_work_norm,12_1f_neg_hit_work_norm,13_1f_disp_env_norm,14_1f_hidden_work_proxy,15_1f_a_times_v_measured,16_1f_abs_a_times_v_measured,17_1f_u_measured,18_1f_measured_signed_work,19_2f_evolved_av_next,20_2f_measured_av,21_2f_evolved_av_next_residual,22_2f_p_hit_pred,23_2f_signed_p_hit_pred,24_2f_w_hit_norm,25_2f_hit_work_capacity_norm,26_2f_displacement_side_work_norm,27_2f_work_capacity_margin_norm,28_2f_pos_hit_work_norm,29_2f_neg_hit_work_norm,30_2f_disp_env_norm,31_2f_hidden_work_proxy,32_2f_a_times_v_measured,33_2f_abs_a_times_v_measured,34_2f_u_measured,35_2f_measured_signed_work,36_3f_evolved_av_next,37_3f_measured_av,38_3f_evolved_av_next_residual,39_3f_p_hit_pred,40_3f_signed_p_hit_pred,41_3f_w_hit_norm,42_3f_hit_work_capacity_norm,43_3f_displacement_side_work_norm,44_3f_work_capacity_margin_norm,45_3f_pos_hit_work_norm,46_3f_neg_hit_work_norm,47_3f_disp_env_norm,48_3f_hidden_work_proxy,49_3f_a_times_v_measured,50_3f_abs_a_times_v_measured,51_3f_u_measured,52_3f_measured_signed_work,53_path_w_1f_2f,54_path_w_2f_3f,55_state_fidelity_one_step,56_residual_norm
QSM-QTE-FATE,0.0,0.0,-1.977617501039735e-06,-1.977617501039735e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007358204240752859,0.0,-1.977617501039735e-06,1.977617501039735e-06,-6.9199818771e-06,0.0,0.0,-1.8049622101760763e-06,-1.8049622101760763e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020171695384973114,0.0,-1.8049622101760763e-06,1.8049622101760763e-06,3.9913821779e-06,0.0,0.0,2.268488323233437e-08,2.268488323233437e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017480107764356043,0.0,2.268488323233437e-08,2.268488323233437e-08,4.5699683218e-06,0.0,1.0,1.0,1.0,0.0
QSM-QTE-FATE,0.0244140433893411,6.044196615612403e-05,1.7887673610253633e-05,-4.2554292545870395e-05,6.044196615612403e-05,6.044196615612403e-05,4.587104060764052e-07,4.5871040607660757e-07,2.925237028677597e-07,1.6618670320884787e-07,1.047538658893847e-06,1.6003342814275593e-08,0.0007840268262576627,0.9992159731737423,1.7887673610253633e-05,1.7887673610253633e-05,8.059264874e-06,-4.648136316152182e-09,-5.459332622901391e-07,5.85529620245747e-07,1.1314628825358861e-06,5.459332622901391e-07,-5.459332622901391e-07,4.512495401721758e-09,4.512495401723821e-09,4.287839085914285e-09,2.2465631580953683e-10,0.0,1.0319554346692305e-08,0.00020242033987310736,0.999797579660127,5.85529620245747e-07,5.85529620245747e-07,2.9646480275e-06,-3.1809585120150624e-09,-4.26859889871537e-08,-6.100364824383732e-08,-1.831765925668362e-08,4.26859889871537e-08,-4.26859889871537e-08,2.141029688694167e-10,2.1410296886951623e-10,6.417636823892623e-10,-4.2766071351974616e-10,0.0,5.461256809768314e-10,0.00022759464919943888,0.9997724053508006,-6.100364824383732e-08,6.100364824383732e-08,5.9210319867e-06,-2.420265994905724e-09,1.0012619640127323,0.9987380359872678,0.9697199544592272,1.9922741050776231
QSM-QTE-FATE,0.0488281268797369,-3.982015659510719e-05,3.728314349214676e-05,7.710330008725395e-05,3.982015659510719e-05,-3.982015659510719e-05,8.78992892307011e-07,8.789928923073989e-07,5.337587414425153e-07,3.4523415086488347e-07,1.6819649060581324e-06,1.8492125337217295e-07,0.0007527649524604816,0.9992472350475395,3.728314349214676e-05,3.728314349214676e-05,-5.6653129657e-06,2.6884178933828488e-08,-3.8689420905532035e-06,1.7957813315721756e-06,5.664723422125379e-06,3.8689420905532035e-06,-3.8689420905532035e-06,3.05606500665989e-08,3.056065006661287e-08,9.176754465594906e-09,2.138389560101796e-08,0.0,7.027459965318821e-08,0.00024286449002036068,0.9997571355099797,1.7957813315721756e-06,1.7957813315721756e-06,4.6471670352e-06,1.8670544224857554e-10,-2.992155476448183e-07,-8.480297756374426e-09,2.9073524988844385e-07,2.992155476448183e-07,-2.992155476448183e-07,2.348449188733063e-09,2.3484491887341548e-09,8.887620208194224e-10,1.4596871679147324e-09,0.0,5.591463071637931e-09,0.00022025079686907026,0.999779749203131,-8.480297756374426e-09,8.480297756374426e-09,5.2870116359e-06,-1.873663355025777e-09,1.0029211299461493,0.9970788700538504,0.9500284556175983,1.2641304001203653
QSM-QTE-FATE,0.0781249949873681,4.466937096421102e-05,6.740363064257728e-05,2.2734259678366263e-05,4.466937096421102e-05,4.466937096421102e-05,1.402707668788354e-06,1.4027076687889727e-06,8.511977746012024e-07,5.515098941877703e-07,2.756444247785076e-06,1.8492125337217295e-07,0.0008159748710692931,0.9991840251289307,6.740363064257728e-05,6.740363064257728e-05,4.6328564957e-06,3.4111592237086856e-07,-4.394796479299912e-06,8.344549955419409e-07,5.2292514748418525e-06,4.394796479299912e-06,-4.394796479299912e-06,6.854151376179279e-08,6.854151376182413e-08,1.8589279185802995e-08,4.995223457602114e-08,0.0,1.479827159893493e-07,0.00023129070589032082,0.9997687092941097,8.344549955419409e-07,8.344549955419409e-07,1.680985844e-06,-6.813460993395446e-10,5.253527826570248e-07,3.3354631375842757e-07,-1.9180646889859726e-07,5.253527826570248e-07,5.253527826570248e-07,6.230783516898846e-09,6.230783516901742e-09,2.8241080072552957e-09,3.406675509646446e-09,4.812696258294937e-09,9.002550678480652e-09,0.00020975467544259838,0.9997902453245574,3.3354631375842757e-07,3.3354631375842757e-07,3.188082162e-06,5.717681117641583e-09,1.00500108986361,0.9949989101363897,0.88984592265191,1.884856335108776
QSM-QTE-FATE,0.1025390383767093,5.189187075900524e-05,4.3730570500933404e-05,-8.161300258071836e-06,5.189187075900524e-05,5.189187075900524e-05,1.8146594706784737e-06,1.8146594706792744e-06,1.1151189511131297e-06,6.995405195661446e-07,3.6090807141083804e-06,1.8492125337217295e-07,0.0007834391177165681,0.9992165608822834,4.3730570500933404e-05,4.3730570500933404e-05,-2.1632476448e-06,3.6258773558376945e-07,-9.201868993733636e-06,1.8635272457608523e-06,1.1065396239494488e-05,9.201868993733636e-06,-9.201868993733636e-06,1.6110524002616525e-07,1.6110524002623892e-07,2.6942246904982167e-08,1.3416299312125675e-07,0.0,3.452935867191313e-07,0.00022206834178765706,0.9997779316582124,1.8635272457608523e-06,1.8635272457608523e-06,1.0599441364e-06,2.0490320562608928e-08,1.1748741638038478e-06,-1.5659976334903623e-07,-1.331473927152884e-06,1.1748741638038478e-06,1.1748741638038478e-06,1.760745513324891e-08,1.7607455133257096e-08,4.3457328260231224e-09,1.3261722307233971e-08,2.814053650192606e-08,9.002550678480652e-09,0.0002013910277044786,0.9997986089722956,-1.5659976334903623e-07,1.5659976334903623e-07,2.715294607e-07,1.495267745106671e-09,1.0065434248884857,0.9934565751115142,0.8917123285119032,1.223152773732094
QSM-QTE-FATE,0.1318359064843405,2.5646197435974767e-05,-5.9097843516117164e-05,-8.474404095209194e-05,2.5646197435974767e-05,2.5646197435974767e-05,2.3293075744604175e-06,2.3293075744614454e-06,1.4258594210048603e-06,9.034481534565848e-07,4.597118960695159e-06,1.8492125337217295e-07,0.0007461040786306964,0.9992538959213693,-5.9097843516117164e-05,5.9097843516117164e-05,-3.4171276307e-06,3.781330900118549e-07,-7.776518602185905e-06,-4.910651168628702e-07,7.285453485323035e-06,7.776518602185905e-06,-7.776518602185905e-06,2.388393392396991e-07,2.388393392398083e-07,3.6495194309123787e-08,2.023441449306845e-07,0.0,4.987110942141652e-07,0.00021148560468290048,0.9997885143953171,-4.910651168628702e-07,4.910651168628702e-07,-1.2992104177e-06,-2.270515813114268e-09,1.6043185799408816e-06,-2.3345488772206484e-07,-1.8377734676629464e-06,1.6043185799408816e-06,1.6043185799408816e-06,3.086576114544039e-08,3.0865761145454734e-08,5.278690893109034e-09,2.5587070252345702e-08,5.461107563824582e-08,9.002550678480652e-09,0.00019179367454600282,0.999808206325454,-2.3345488772206484e-07,2.3345488772206484e-07,-2.614156906e-06,2.9342275680255106e-09,1.008833559985399,0.9911664400146009,0.7622689163652299,1.6958004556124873
QSM-QTE-FATE,0.1562499899747363,1.8297459135481494e-05,-6.972951509634063e-05,-8.802697423182213e-05,1.8297459135481494e-05,1.8297459135481494e-05,2.7054418595844725e-06,2.7054418595856664e-06,1.6919430152348957e-06,1.0134988443507707e-06,5.3451199192668745e-06,1.8492125337217295e-07,0.000778018000949013,0.999221981999051,-6.972951509634063e-05,6.972951509634063e-05,3.7849194278e-06,3.348649721834382e-07,-2.3057949081582535e-06,-2.0130124959752697e-06,2.927824121829838e-07,2.3057949081582535e-06,-2.3057949081582535e-06,3.4501760576295074e-07,3.4501760576310844e-07,4.217268555624571e-08,3.028449202068628e-07,0.0,7.003430886405146e-07,0.00020305293878156237,0.9997969470612185,-2.0130124959752697e-06,2.0130124959752697e-06,-3.5091155666e-06,5.634636836169816e-09,5.970084188909691e-07,-6.732789600111004e-09,-6.037412084910801e-07,5.970084188909691e-07,5.970084188909691e-07,5.543975663248943e-08,5.5439756632515197e-08,6.507390791325949e-09,4.893236584118925e-08,9.973355562107672e-08,9.002550678480652e-09,0.00018414619432217656,0.9998158538056778,-6.732789600111004e-09,6.732789600111004e-09,-4.1888273192e-06,-1.911604658093254e-09,1.0100705967048746,0.9899294032951252,0.8732698235717046,1.0221028728897879
QSM-QTE-FATE,0.1806640333640775,4.5245232932008105e-06,-6.618338827101015e-05,-7.070791156421095e-05,4.5245232932008105e-06,4.5245232932008105e-06,3.1379879504416624e-06,3.137987950443047e-06,1.941489444690757e-06,1.1964985057522903e-06,6.193661937968874e-06,1.8492125337217295e-07,0.0007469957198955715,0.9992530042801044,-6.618338827101015e-05,6.618338827101015e-05,-5.0851284737e-06,2.5280172475448263e-07,-1.051514688467285e-06,-1.8373751665343616e-06,-7.858604780670767e-07,1.051514688467285e-06,-1.051514688467285e-06,3.913937832477921e-07,3.9139378324797104e-07,4.9666711206676404e-08,3.417270720412946e-07,0.0,7.909637766257951e-07,0.00020857476370927662,0.9997914252362907,-1.8373751665343616e-06,1.8373751665343616e-06,-1.8768997599e-06,5.543548569627501e-09,3.34629228020947e-07,-3.138663494796543e-08,-3.6601586296891243e-07,3.34629228020947e-07,3.34629228020947e-07,7.041746730095197e-08,7.041746730098472e-08,6.754919958017823e-09,6.366254734296689e-08,1.280036242641531e-07,9.002550678480652e-09,0.00019905008614485412,0.9998009499138552,-3.138663494796543e-08,3.138663494796543e-08,-4.9974223394e-06,-2.4721989996471366e-09,1.011935227992262,0.9880647720077383,0.8010521201929814,1.6353626424036058
QSM-QTE-FATE,0.2099609415727633,5.7404049025434755e-05,-6.774439949173298e-06,-6.417848897460806e-05,5.7404049025434755e-05,5.7404049025434755e-05,3.616951824733989e-06,3.6169518247355846e-06,2.2480480611655577e-06,1.3689037635700268e-06,7.19020477966536e-06,2.742185996196735e-07,0.0007605644595192798,0.9992394355404807,-6.774439949173298e-06,6.774439949173298e-06,6.9236013743e-06,9.657466487668381e-09,-3.4374952665366234e-06,4.751893736987302e-07,3.912684640235354e-06,3.4374952665366234e-06,-3.4374952665366234e-06,4.731144220949697e-07,4.7311442209518594e-07,5.644678828769322e-08,4.1666763380749274e-07,0.0,9.609835210399637e-07,0.00019863506733809095,0.9998013649326619,4.751893736987302e-07,4.751893736987302e-07,-2.8696105175e-06,-3.167955588780778e-09,1.078006437598535e-06,-1.0307561246971346e-07,-1.1810820500682483e-06,1.078006437598535e-06,1.078006437598535e-06,9.540503936586258e-08,9.540503936590691e-08,8.26019389531988e-09,8.714484547058703e-08,1.7774776018361664e-07,9.002550678480652e-09,0.00018956429129722837,0.9998104357087028,-1.0307561246971346e-07,1.0307561246971346e-07,-2.9579300454e-06,2.807849597260081e-09,1.0136106347713671,0.9863893652286329,0.89292609627514,1.575617783629673
QSM-QTE-FATE,0.2343749849621044,4.815059758090208e-05,7.720775319205942e-06,-4.042982226169614e-05,4.815059758090208e-05,4.815059758090208e-05,4.003219653052371e-06,4.003219653054137e-06,2.509406232179381e-06,1.4938134208747557e-06,7.954624213822906e-06,2.742185996196735e-07,0.000891218691696254,0.9991087813083037,7.720775319205942e-06,7.720775319205942e-06,-8.451549602e-06,2.512712010839655e-08,-2.0791596308412148e-05,-6.818255605447794e-07,2.0109770747867368e-05,2.0791596308412148e-05,-2.0791596308412148e-05,5.541614889265967e-07,5.541614889268501e-07,6.541911663009865e-08,4.887423722967515e-07,0.0,1.1633026594677544e-06,0.0001907147970120637,0.999809285202988,-6.818255605447794e-07,6.818255605447794e-07,3.645802397e-07,-2.8531533987530815e-09,4.135319815369389e-06,2.586681898559959e-07,-3.876651625513393e-06,4.135319815369389e-06,4.135319815369389e-06,1.1481173618350464e-07,1.14811736183558e-07,9.07670920337297e-09,1.0573502698018503e-07,2.218004077109169e-07,9.002550678480652e-09,0.00018200570432990132,0.9998179942956701,2.586681898559959e-07,2.586681898559959e-07,-4.754632588e-07,4.449295434520081e-09,1.0153047336263368,0.9846952663736632,0.7109740239592436,0.5611559338569032
