method_chain,case_id,case_name,event_name,control_mode,method,floor,signed_av_correlation,absolute_envelope_av_correlation,one_step_residual_rmse,main_window_timing_offset_s,manifested_work_ratio,unmanifested_work_margin,max_downstream_response_envelope
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,floor_state_assimilated,1F,0.7784148298993706,0.9001267675096173,32545.81125515646,-0.006000000000000227,0.00838406315403641,0.9916159368459636,2.3570432390157245
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,floor_state_assimilated,2F,0.09256571176472093,0.4767929722300559,13569.566107476854,0.15800000000000125,0.5599414613086654,0.4400585386913346,3.5732813104404504
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,floor_state_assimilated,3F,0.09656270379420051,0.4694004279547615,22101.069941611324,-0.025000000000005684,0.9523809523809524,0.04761904761904756,3.6586191510728265
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,boundary_input_only,1F,-0.058080482819744025,0.792266959891005,3933.799736358435,0.0010000000000047748,0.16184150112674472,0.8381584988732553,2.3570432390157245
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,boundary_input_only,2F,0.0029404087959679745,0.7702708478511413,13497.040443054542,-0.6940000000000026,0.23686249094466091,0.7631375090553391,3.5732813104404504
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,uncontrolled,boundary_input_only,3F,-0.06041607176955269,0.7326664452717171,22212.95924979569,0.007999999999995566,0.9523809523809524,0.04761904761904756,3.6586191510728265
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,floor_state_assimilated,1F,0.6804833741425644,0.7988307286203129,10306.62533112565,0.5450000000000088,0.010472707572150955,0.9895272924278491,3.577777766741197
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,floor_state_assimilated,2F,0.053358253821896996,0.5005629788837854,4618.752438988633,-0.016999999999995907,0.7030412987066693,0.2969587012933307,2.555535534875746
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,floor_state_assimilated,3F,0.04027000166457315,0.4684804035506694,6929.528881988076,-0.02200000000000557,0.9523809523809523,0.04761904761904767,2.627218808445125
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,boundary_input_only,1F,-0.053903290393957234,0.857454387025555,1241.809980197411,0.0010000000000047748,0.19564400039578153,0.8043559996042184,3.577777766741197
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,boundary_input_only,2F,0.016003626175884512,0.6669203138858605,4518.538551587818,9.016999999999996,0.31659660255754535,0.6834033974424547,2.555535534875746
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,passive-off,boundary_input_only,3F,0.1498634684569783,0.6872645454854396,6806.304253573825,-0.5320000000000036,0.9523809523809522,0.04761904761904778,2.627218808445125
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,semi-active,floor_state_assimilated,1F,0.5668865580742739,0.8511274423663869,0.060318314416272605,0.17578124874683887,0.2079176549343738,0.7920823450656262,3.6499065245646314
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,semi-active,floor_state_assimilated,2F,0.7086464118026851,0.9489601215103797,0.052671089845590276,-0.07324217026908109,0.6721482948739728,0.32785170512602724,3.8021435610814867
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,semi-active,floor_state_assimilated,3F,0.6933405765592384,0.9551975345553708,0.08199966878975733,0.004882784617237235,0.952380952380467,0.04761904761953295,4.173875952651221
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,semi-active,boundary_input_only,1F,0.08731451054656943,0.7568850630687449,0.029341493475068297,1.5917968881581572,0.19452138855788595,0.8054786114421141,3.6499065245646314
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,semi-active,boundary_input_only,2F,0.011723294355773465,0.724646023269515,0.07351695082484566,0.5322265709588141,0.4996738108436625,0.5003261891563375,3.8021435610814867
